name,street,state,country,city,zip,link_one,link_two
Easter Seals WKY,801 N 29th St,Kentucky,United States,Paducah,42001,http://www.easterseals.com/westkentucky/,
Marshall County Exceptional Center,198 Old Symsonia Road,Kentucky,United States,Benton,42025,http://www.m-c-e-c.org/,
Puzzle Pieces,1512 Frederica Street,Kentucky,United States,Owensboro,42301,http://www.puzzle-pieces.org/,
Center Piece,5010 Back Square Drive,Kentucky,United States,Owensboro,42301,http://www.puzzle-pieces.org/center-piece.html,
Bluegrass Oakwood,2441 South Hwy 27,Kentucky,United States,Somerset,42501,http://www.bluegrass.org/entities/oakwood/mission.shtml,
Tri-Generations - Somerset,90 Venture Way,Kentucky,United States,Somerset,42503,http://www.tri-generations.org/,https://www.youtube.com/watch?v=sn6SaXvEvlc
A1 Case Management,110 N. 1st St,Kentucky,United States,Danville,40422,https://www.facebook.com/A1-Case-Management-403604416355798/,https://www.youtube.com/watch?v=u7BCp4zRh44
Southwest Center,8009 Terry Road,Kentucky,United States,Louisville,40258,http://www.swcky.org/,
St. Mary's Center,14207 Aiken Road,Kentucky,United States,Louisville,40253,http://www.saintmaryscenter.org/,
Volunteers of America Northern Kentucky, 8172 Mall Rd,Kentucky,United States,Florence,41017,http://www.voa.org/,
Day Spring Community Living,3430 Day Spring Court,Kentucky,United States,Louisville,40213,http://dayspringky.org/,
D&S Community Services,259 R Old Flemingsburg Road,Kentucky,United States,Morehead,40351,http://www.dscommunity.com/,
Reach For The Stars, 434 Hotchkiss Street,Kentucky,United States,Campbellsville,42718,http://www.rftstars.org/,
 Tri-Generations - Campbellsville,436 Hotchkiss Street,Kentucky,United States,Campbellsville,42718,http://www.tri-generations.org/,
Dreams With Wings,1579 Bardstown Rd,Kentucky,United States,Louisville,40205, http://www.dreamswithwings.org/,
AlmCare,409 N Miles Street,Kentucky,United States,Elizabethtown,42701,http://www.almcare.org/,
Blessed Assurance Communtiy Services, 10233 Old Boston Rd,Kentucky,United States,Boston,40107,,
Muhlenberg County Opportunity Center,615 Opportunity Way,Kentucky,United States,Greenville,42345,http://www.muhlon.com/clients/mcoc/index.html,https://www.facebook.com/OCchanginglives/
Options for Individuals, Inc,2200 Envoy CircleÿSuite 2201,Kentucky,United States,Louisville ,40299,http://optionsforindividuals.org/,
